time,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,temp,GarminRunCadenceSpm
0,0,77,0.0,121.6,,,0.0,30,0.0
1,0,78,0.0,121.6,,,0.0,30,0.0
2,0,78,0.0,121.4,,,0.0,30,0.0
3,0,78,0.0,121.4,,,0.0,30,0.0
4,0,78,0.0,121.2,,,0.0,30,0.0
5,0,78,0.0,121.0,,,0.0,30,0.0
6,0,79,0.0,121.0,,,0.0,30,0.0
7,0,79,0.0,121.0,,,0.0,30,0.0
8,0,79,0.0,121.0,,,0.0,30,0.0
9,0,79,0.0,121.0,33.927944,-117.89345,0.0,30,0.0
10,49,79,2.3,121.0,33.92797,-117.89347,0.0,30,98.0
11,49,79,2.3,120.8,33.92797,-117.89347,1.138,30,98.0
12,49,80,2.3,120.8,33.927956,-117.89345,1.157,30,98.0
13,49,80,3.65,120.8,33.92797,-117.89344,1.306,30,98.0
14,49,80,6.45,120.6,33.927994,-117.89345,1.306,30,98.0
15,48,80,7.51,120.6,33.928005,-117.893456,1.362,30,96.0
16,48,80,8.52,120.6,33.928013,-117.893456,1.418,30,96.0
17,50,80,9.68,120.6,33.92802,-117.89345,1.418,30,100.0
18,51,79,10.85,120.6,33.928032,-117.89344,1.344,30,102.0
19,51,80,11.91,120.6,33.928043,-117.89344,1.344,30,102.0
20,53,80,13.37,120.6,33.92805,-117.89343,1.344,30,106.0
21,53,81,14.17,120.4,33.928062,-117.893425,1.334,30,106.0
22,53,81,15.32,120.4,33.928074,-117.89342,1.316,30,106.0
23,53,82,16.94,120.4,33.928085,-117.89341,1.297,30,106.0
24,53,82,18.42,120.4,33.928097,-117.89341,1.288,30,106.0
25,53,82,19.68,120.4,33.928104,-117.8934,1.325,30,106.0
26,52,82,21.06,120.4,33.928116,-117.893394,1.334,30,104.0
27,52,82,22.48,120.4,33.928127,-117.893394,1.334,30,104.0
28,52,82,23.9,120.2,33.928143,-117.89339,1.344,30,104.0
29,52,82,25.18,120.2,33.928154,-117.89339,1.353,30,104.0
30,52,82,26.59,120.2,33.92816,-117.89338,1.353,30,104.0
31,52,82,27.77,120.2,33.928173,-117.89338,1.353,30,104.0
32,52,82,29.07,120.2,33.928185,-117.89338,1.353,30,104.0
33,53,83,30.54,120.2,33.928196,-117.89337,1.353,30,106.0
34,53,82,31.89,120.2,33.928207,-117.893364,1.353,30,106.0
35,53,82,32.75,120.2,33.928215,-117.893364,1.353,30,106.0
36,53,82,33.67,120.2,33.928223,-117.89336,1.353,30,106.0
37,53,82,34.57,120.0,33.928234,-117.89336,1.344,30,106.0
