time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,temp,torque,fixed_altitude,GarminGCT,GarminRunCadenceSpm,GarminStepLength,GarminVerticalRatio,Garminverticaloscillation
54,302,80,134,135.55,129.2,33.927593,-117.891975,2.594,26,36,126.0,287.0,160.0,972.0,9.34,90.9
55,297,80,134,138.5,129.2,33.9276,-117.89195,2.594,26,35,126.0,287.0,160.0,972.0,9.34,90.9
56,291,80,134,140.57,129.2,33.927605,-117.89193,2.585,26,35,126.0,287.0,160.0,969.0,9.37,90.8
57,285,80,134,142.9,129.2,33.927612,-117.89191,2.585,26,34,126.0,283.0,160.0,957.0,9.35,89.5
58,275,81,134,144.77,129.0,33.927616,-117.891884,2.585,26,32,127.0,283.0,162.0,957.0,9.35,89.5
59,264,81,134,147.1,128.8,33.9276,-117.89185,2.575,26,31,127.0,283.0,162.0,953.0,9.37,89.4
60,261,80,134,149.25,128.6,33.927578,-117.89185,2.557,26,31,126.0,287.0,160.0,958.0,9.44,90.5
61,259,80,133,151.87,128.4,33.92756,-117.89184,2.547,26,31,126.0,288.0,160.0,955.0,9.43,90.0
62,258,79,133,154.71,128.2,33.92753,-117.891846,2.538,26,31,126.0,292.0,158.0,963.0,9.47,91.3
63,258,79,132,157.61,128.2,33.9275,-117.891846,2.538,26,31,126.0,292.0,158.0,963.0,9.47,91.3
64,258,79,132,160.09,128.2,33.92748,-117.89184,2.538,26,31,126.0,292.0,158.0,963.0,9.47,91.3
65,258,81,131,164.17,128.2,33.927444,-117.89183,2.547,26,30,126.0,284.0,162.0,943.0,9.41,88.7
66,257,81,131,166.57,128.2,33.927425,-117.891815,2.547,26,30,126.0,281.0,162.0,931.0,9.35,87.2
67,256,81,131,169.84,128.0,33.9274,-117.89181,2.547,26,30,126.0,281.0,162.0,931.0,9.35,87.2
68,255,81,132,172.6,128.0,33.927376,-117.8918,2.547,26,30,126.0,281.0,162.0,931.0,9.35,87.2
69,257,81,132,175.02,128.0,33.927353,-117.89179,2.566,26,30,126.0,280.0,162.0,938.0,9.34,87.7
70,255,81,132,177.89,127.8,33.927334,-117.89178,2.566,26,30,127.0,280.0,162.0,938.0,9.34,87.7
71,255,82,132,180.42,127.6,33.927307,-117.89177,2.575,26,30,127.0,280.0,164.0,942.0,9.32,87.8
72,252,82,132,182.86,127.4,33.92729,-117.891754,2.575,26,29,127.0,280.0,164.0,942.0,9.32,87.8
73,248,82,131,185.81,127.4,33.92727,-117.89174,2.575,26,29,127.0,280.0,164.0,942.0,9.32,87.8
74,248,81,132,188.37,127.4,33.927246,-117.89172,2.585,26,29,127.0,283.0,162.0,957.0,9.35,89.5
75,248,81,132,191.22,127.4,33.92723,-117.8917,2.594,26,29,128.0,283.0,162.0,960.0,9.32,89.6
76,247,80,132,194.19,127.4,33.927204,-117.891685,2.594,26,29,128.0,283.0,160.0,960.0,9.32,89.6
77,248,80,132,196.62,127.4,33.927185,-117.89167,2.603,26,30,128.0,283.0,160.0,964.0,9.3,89.6
78,247,80,132,199.3,127.4,33.92717,-117.891655,2.603,26,29,128.0,283.0,160.0,964.0,9.3,89.6
79,248,81,132,201.92,127.4,33.927147,-117.89164,2.613,26,29,128.0,283.0,162.0,967.0,9.27,89.7
80,247,81,132,204.36,127.2,33.92713,-117.89162,2.613,26,29,128.0,283.0,162.0,967.0,9.27,89.7
81,247,81,132,207.03,127.2,33.927113,-117.8916,2.613,26,29,128.0,283.0,162.0,967.0,9.27,89.7
82,247,81,132,209.89,127.2,33.92709,-117.89159,2.613,26,29,128.0,283.0,162.0,967.0,9.27,89.7
83,247,81,132,212.26,127.2,33.92708,-117.89156,2.613,26,29,128.0,283.0,162.0,967.0,9.27,89.7
84,247,81,133,215.03,127.0,33.927055,-117.89155,2.613,26,29,128.0,283.0,162.0,967.0,9.27,89.7
85,250,81,133,217.52,127.0,33.927036,-117.89153,2.622,26,29,128.0,282.0,162.0,971.0,9.29,90.2
86,249,81,133,219.83,126.8,33.92703,-117.89151,2.622,26,29,128.0,282.0,162.0,971.0,9.29,90.2
87,247,81,133,222.61,126.8,33.92701,-117.89149,2.622,26,29,128.0,282.0,162.0,971.0,9.29,90.2
88,246,81,134,225.37,126.6,33.926987,-117.89148,2.613,26,29,128.0,283.0,162.0,967.0,9.27,89.7
89,246,81,134,227.98,126.6,33.92697,-117.89146,2.613,26,29,128.0,279.0,162.0,955.0,9.26,88.5
90,247,81,134,231.14,126.4,33.926945,-117.89143,2.622,26,29,128.0,279.0,162.0,959.0,9.23,88.5
91,248,81,134,234.02,126.4,33.926926,-117.89142,2.622,26,29,128.0,279.0,162.0,959.0,9.23,88.5
92,251,81,134,236.59,126.4,33.926914,-117.8914,2.631,26,30,128.0,279.0,162.0,962.0,9.21,88.6
93,255,81,134,239.17,126.6,33.92689,-117.89139,2.641,26,30,127.0,282.0,162.0,977.0,9.24,90.4
94,256,80,134,241.56,126.6,33.926872,-117.89137,2.641,26,31,127.0,282.0,160.0,977.0,9.24,90.4
95,258,80,134,244.14,126.6,33.926857,-117.89135,2.641,26,31,127.0,282.0,160.0,977.0,9.24,90.4
96,260,81,134,246.36,126.6,33.926838,-117.891335,2.641,26,31,127.0,282.0,162.0,977.0,9.24,90.4
97,261,81,135,248.34,126.6,33.92683,-117.89132,2.641,26,31,127.0,282.0,162.0,977.0,9.24,90.4
98,262,81,134,251.0,126.6,33.92681,-117.8913,2.631,26,31,127.0,282.0,162.0,974.0,9.26,90.3
99,263,81,133,254.13,126.6,33.926785,-117.89128,2.622,26,31,127.0,282.0,162.0,971.0,9.29,90.2
100,263,81,133,256.29,126.6,33.926773,-117.891266,2.613,26,31,127.0,283.0,162.0,967.0,9.27,89.7
101,262,82,133,259.5,126.6,33.92675,-117.89124,2.613,26,31,126.0,276.0,164.0,944.0,9.2,86.9
102,265,82,134,262.01,126.4,33.92673,-117.89123,2.631,26,31,126.0,276.0,164.0,951.0,9.15,87.1
103,266,80,134,264.21,126.4,33.92672,-117.89121,2.622,26,32,126.0,282.0,160.0,971.0,9.29,90.2
104,267,80,134,267.01,126.4,33.926697,-117.89119,2.622,26,32,126.0,282.0,160.0,971.0,9.29,90.2
105,268,80,134,269.89,126.4,33.926674,-117.891174,2.622,26,32,126.0,282.0,160.0,971.0,9.29,90.2
106,268,80,134,272.29,126.6,33.92666,-117.89116,2.622,26,32,126.0,282.0,160.0,971.0,9.29,90.2
107,269,80,134,274.74,126.6,33.92664,-117.89115,2.622,26,32,126.0,282.0,160.0,971.0,9.29,90.2
108,269,81,134,276.87,126.6,33.92662,-117.891136,2.622,26,32,126.0,282.0,162.0,971.0,9.29,90.2
109,270,80,135,279.29,126.6,33.926605,-117.89112,2.622,26,32,126.0,282.0,160.0,971.0,9.29,90.2
110,270,80,134,282.19,126.4,33.926582,-117.891106,2.613,26,32,125.0,286.0,160.0,979.0,9.33,91.4
111,270,80,134,284.37,126.4,33.926567,-117.89109,2.613,26,32,125.0,286.0,160.0,979.0,9.33,91.4
112,268,80,134,286.74,126.4,33.92656,-117.891075,2.603,26,32,125.0,286.0,160.0,976.0,9.36,91.3
113,268,80,134,289.39,126.2,33.926533,-117.89106,2.603,26,32,125.0,286.0,160.0,976.0,9.36,91.3
114,267,79,135,291.78,126.2,33.926514,-117.891045,2.603,26,32,125.0,286.0,158.0,976.0,9.36,91.3
115,265,79,134,294.16,126.0,33.926502,-117.89102,2.594,26,32,125.0,287.0,158.0,972.0,9.34,90.9
116,265,80,134,296.99,126.0,33.92648,-117.89101,2.594,26,32,125.0,287.0,160.0,972.0,9.34,90.9
117,264,80,135,299.82,125.8,33.92646,-117.89098,2.594,26,32,125.0,287.0,160.0,972.0,9.34,90.9
118,263,80,134,302.57,125.6,33.926445,-117.89096,2.594,26,31,125.0,287.0,160.0,972.0,9.34,90.9
119,262,80,134,305.33,125.6,33.926422,-117.890945,2.594,26,31,125.0,287.0,160.0,972.0,9.34,90.9
120,261,80,134,307.92,125.4,33.926407,-117.89092,2.594,26,31,125.0,287.0,160.0,972.0,9.34,90.9
121,260,80,134,310.87,125.2,33.926384,-117.8909,2.603,26,31,125.0,283.0,160.0,964.0,9.3,89.6
122,258,81,134,314.1,125.0,33.926357,-117.89089,2.603,26,30,125.0,283.0,162.0,964.0,9.3,89.6
123,258,81,133,316.87,124.8,33.926342,-117.89087,2.613,26,30,126.0,283.0,162.0,967.0,9.27,89.7
124,257,82,133,320.21,124.6,33.926315,-117.890854,2.622,26,30,126.0,279.0,164.0,959.0,9.23,88.5
125,253,82,133,322.88,124.4,33.926292,-117.89084,2.631,26,29,126.0,279.0,164.0,962.0,9.21,88.6
126,252,83,133,325.95,124.4,33.926273,-117.89082,2.65,26,29,126.0,275.0,166.0,957.0,9.14,87.6
127,248,83,133,328.6,124.2,33.926247,-117.890816,2.65,26,29,126.0,275.0,166.0,957.0,9.14,87.6
128,246,83,133,331.45,124.2,33.926224,-117.8908,2.659,26,28,125.0,275.0,166.0,961.0,9.12,87.6
129,245,83,134,334.14,124.0,33.9262,-117.89079,2.669,26,28,125.0,275.0,166.0,964.0,9.1,87.7
130,243,82,133,337.59,123.8,33.926167,-117.89079,2.669,26,28,125.0,275.0,164.0,964.0,9.1,87.7
131,247,81,133,340.41,124.0,33.926147,-117.89079,2.678,26,29,125.0,278.0,162.0,979.0,9.13,89.4
132,253,81,133,342.61,124.0,33.92613,-117.89079,2.706,26,30,125.0,277.0,162.0,989.0,9.09,90.0
133,255,81,133,344.72,124.2,33.926105,-117.8908,2.706,26,30,125.0,277.0,162.0,989.0,9.09,90.0
134,254,80,133,347.2,124.2,33.926083,-117.89079,2.697,26,30,125.0,284.0,160.0,1011.0,9.2,93.0
135,250,80,134,349.69,124.0,33.926064,-117.890785,2.678,26,30,125.0,285.0,160.0,1004.0,9.21,92.4
136,250,80,134,351.73,123.8,33.92604,-117.890785,2.678,26,30,125.0,285.0,160.0,1004.0,9.21,92.4
137,251,80,133,353.93,123.6,33.92602,-117.890785,2.678,26,30,125.0,285.0,160.0,1004.0,9.21,92.4
138,250,80,133,356.5,123.6,33.926,-117.890785,2.659,26,30,125.0,285.0,160.0,997.0,9.25,92.3
139,251,79,133,359.16,123.6,33.925972,-117.890785,2.65,26,30,124.0,285.0,158.0,993.0,9.28,92.2
140,253,79,133,361.52,123.6,33.925953,-117.89079,2.65,26,31,124.0,285.0,158.0,993.0,9.28,92.2
141,253,79,130,364.04,123.6,33.925926,-117.89079,2.65,26,31,124.0,285.0,158.0,993.0,9.28,92.2
142,254,79,131,366.34,123.4,33.92591,-117.89081,2.641,26,31,124.0,285.0,158.0,990.0,9.3,92.1
143,256,79,131,368.9,123.4,33.925896,-117.89083,2.631,26,31,124.0,289.0,158.0,999.0,9.35,93.4
144,259,79,131,371.71,123.4,33.925884,-117.89086,2.631,26,31,124.0,289.0,158.0,999.0,9.35,93.4
145,261,79,130,374.55,123.2,33.925884,-117.89089,2.622,26,32,124.0,290.0,158.0,995.0,9.33,92.9
146,265,79,130,377.34,123.2,33.925877,-117.89092,2.631,26,32,124.0,289.0,158.0,999.0,9.35,93.4
147,265,80,131,380.13,123.2,33.925873,-117.89095,2.631,26,32,124.0,286.0,160.0,986.0,9.29,91.6
148,266,80,131,382.95,123.0,33.92588,-117.89098,2.631,26,32,124.0,286.0,160.0,986.0,9.29,91.6
149,268,80,131,385.59,123.0,33.925877,-117.891014,2.641,26,32,124.0,285.0,160.0,990.0,9.3,92.1
150,269,80,131,388.45,123.0,33.92587,-117.891045,2.641,26,32,124.0,285.0,160.0,990.0,9.3,92.1
151,269,80,132,391.14,123.0,33.925873,-117.89107,2.641,26,32,124.0,285.0,160.0,990.0,9.3,92.1
152,272,80,132,393.46,123.0,33.925873,-117.8911,2.65,26,32,124.0,285.0,160.0,993.0,9.28,92.2
153,272,80,132,395.88,123.0,33.925873,-117.89112,2.65,26,32,124.0,285.0,160.0,993.0,9.28,92.2
154,271,79,132,398.7,122.8,33.925877,-117.89115,2.641,26,33,124.0,285.0,158.0,990.0,9.3,92.1
155,271,79,132,401.2,123.0,33.925877,-117.891174,2.641,26,33,123.0,285.0,158.0,990.0,9.3,92.1
156,274,79,132,403.55,123.0,33.925873,-117.8912,2.641,26,33,123.0,289.0,158.0,1002.0,9.32,93.5
157,276,79,132,405.9,123.0,33.925884,-117.89123,2.641,26,33,123.0,289.0,158.0,1002.0,9.32,93.5
158,276,80,132,408.13,123.0,33.92588,-117.89125,2.631,26,33,123.0,286.0,160.0,986.0,9.29,91.6
159,275,80,132,410.77,123.0,33.92588,-117.89128,2.622,26,33,123.0,286.0,160.0,983.0,9.31,91.5
160,274,80,132,413.85,123.0,33.925888,-117.89131,2.613,26,33,122.0,286.0,160.0,979.0,9.33,91.4
161,273,80,132,416.34,122.8,33.925888,-117.89134,2.613,26,33,122.0,286.0,160.0,979.0,9.33,91.4
162,273,80,132,419.23,122.4,33.925884,-117.89137,2.622,26,33,122.0,286.0,160.0,983.0,9.31,91.5
