time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,temp,torque,fixed_altitude,GarminGCT,GarminRunCadenceSpm,GarminStepLength,GarminVerticalRatio,Garminverticaloscillation
0,0,52,81,0.0,124.0,,,0.0,26,0,,,104.0,,,
1,0,52,80,0.0,124.0,,,0.0,26,0,,,104.0,,,
2,0,53,80,0.0,124.0,,,0.0,26,0,,,106.0,,,
3,0,103,80,0.0,124.0,,,0.0,26,0,,,206.0,,,
4,0,0,80,0.0,123.8,,,0.0,26,0,,,0.0,,,
5,0,0,80,0.0,123.8,,,0.0,26,0,,,0.0,,,
6,0,80,80,0.0,123.8,,,0.0,26,0,,,160.0,,,
7,9,81,80,0.0,124.0,33.92768,-117.89338,0.0,26,1,125.0,,162.0,,,
8,261,82,82,0.0,124.2,33.92768,-117.89338,2.314,26,30,125.0,290.0,164.0,857.0,9.82,84.2
9,270,82,84,9.96,124.4,33.927727,-117.89328,2.351,26,31,125.0,286.0,164.0,860.0,9.7,83.5
10,274,82,86,11.59,124.4,33.927704,-117.89328,2.351,26,32,125.0,286.0,164.0,860.0,9.7,83.5
11,347,82,87,13.89,124.6,33.927704,-117.89325,2.976,26,40,124.0,271.0,164.0,1088.0,8.66,94.3
12,350,84,89,18.23,124.6,33.927696,-117.8932,2.976,26,40,124.0,268.0,168.0,1075.0,8.6,92.6
13,352,84,91,20.65,124.8,33.92768,-117.89318,2.976,26,40,124.0,265.0,168.0,1063.0,8.55,90.9
14,334,84,93,23.0,124.8,33.92767,-117.893166,2.818,26,38,124.0,269.0,168.0,1006.0,8.78,88.4
15,311,84,95,26.31,124.8,33.927654,-117.893135,2.79,26,35,124.0,269.0,168.0,996.0,8.85,88.2
16,313,84,97,28.86,125.0,33.92764,-117.89311,2.79,26,36,124.0,269.0,168.0,996.0,8.85,88.2
17,322,84,99,31.82,125.0,33.927628,-117.89308,2.874,26,37,124.0,267.0,168.0,1026.0,8.72,89.5
18,339,83,101,34.53,125.0,33.927616,-117.89305,2.958,26,39,123.0,268.0,166.0,1069.0,8.65,92.4
19,331,82,104,36.95,125.0,33.927612,-117.89303,2.883,26,39,123.0,273.0,164.0,1054.0,8.81,92.9
20,331,83,107,38.87,125.0,33.92761,-117.893005,2.883,26,38,123.0,270.0,166.0,1042.0,8.75,91.2
21,316,83,112,41.66,125.2,33.927605,-117.892975,2.771,26,36,124.0,273.0,166.0,1001.0,8.91,89.3
22,305,83,114,44.77,125.2,33.927605,-117.892944,2.641,26,35,124.0,276.0,166.0,954.0,9.13,87.1
23,306,83,115,47.55,125.2,33.92761,-117.89291,2.641,26,35,124.0,276.0,166.0,954.0,9.13,87.1
24,324,83,115,50.46,125.4,33.927612,-117.892876,2.753,26,37,124.0,273.0,166.0,994.0,8.96,89.1
25,331,83,116,53.36,125.4,33.927616,-117.89285,2.762,26,38,124.0,273.0,166.0,998.0,8.94,89.2
26,346,83,117,55.84,125.6,33.927624,-117.89282,2.781,26,40,124.0,272.0,166.0,1005.0,8.92,89.7
27,353,83,118,58.38,125.8,33.927628,-117.8928,2.781,26,41,124.0,272.0,166.0,1005.0,8.92,89.7
28,350,83,119,60.74,126.0,33.92763,-117.89278,2.771,26,40,124.0,270.0,166.0,989.0,8.86,87.7
